"Activity" "Subject" "Mean" "SD"
"70" "WALKING_DOWNSTAIRS" "10" "-0.263162073365728" "0.0110765207269052"
"71" "WALKING_DOWNSTAIRS" "11" "-0.348717448293558" "0.00736004106179796"
"72" "WALKING_DOWNSTAIRS" "12" "-0.311490436338625" "0.0160800012165565"
"73" "WALKING_DOWNSTAIRS" "13" "-0.317234723087439" "0.00804369995722547"
"74" "WALKING_DOWNSTAIRS" "14" "-0.203378373864087" "0.016462635721844"
"75" "WALKING_DOWNSTAIRS" "15" "-0.280227328116279" "0.00928345968591427"
"76" "WALKING_DOWNSTAIRS" "16" "-0.339080301791712" "0.00868417764004349"
"77" "WALKING_DOWNSTAIRS" "17" "-0.365194496888334" "0.00800566160150405"
"78" "WALKING_DOWNSTAIRS" "18" "-0.438663811185222" "0.00715392251407396"
"79" "WALKING_DOWNSTAIRS" "19" "-0.078306398113335" "0.0307255700478561"
"80" "WALKING_DOWNSTAIRS" "20" "-0.247169665420288" "0.0112460846842043"
"81" "WALKING_DOWNSTAIRS" "21" "-0.291301975673511" "0.00919010532443101"
"82" "WALKING_DOWNSTAIRS" "22" "-0.287664837258693" "0.00645881848793591"
"83" "WALKING_DOWNSTAIRS" "23" "-0.20246554081645" "0.0193992716253246"
"84" "WALKING_DOWNSTAIRS" "24" "-0.359085991984149" "0.0078245718417578"
"85" "WALKING_DOWNSTAIRS" "25" "-0.429924410531157" "0.00738520620497"
"86" "WALKING_DOWNSTAIRS" "26" "-0.322473123490661" "0.00739772338817376"
"87" "WALKING_DOWNSTAIRS" "27" "-0.312446129792811" "0.0107852389294913"
"88" "WALKING_DOWNSTAIRS" "28" "-0.291650876955502" "0.00977456138682997"
"89" "WALKING_DOWNSTAIRS" "29" "-0.31726279115201" "0.00727597691429444"
"90" "WALKING_DOWNSTAIRS" "30" "-0.358790607945901" "0.00668040433139287"
"91" "SITTING" "1" "-0.633405230612481" "0.00933986448249496"
"92" "SITTING" "2" "-0.640597914078914" "0.0120932839169017"
"93" "SITTING" "3" "-0.622780836987975" "0.0133072709079972"
"94" "SITTING" "4" "-0.627074988752137" "0.0121751930924355"
"95" "SITTING" "5" "-0.627014833570021" "0.0127325777938865"
"96" "SITTING" "6" "-0.625412957710496" "0.0121725602412984"
"97" "SITTING" "7" "-0.628833138374792" "0.0142222414110759"
"98" "SITTING" "8" "-0.637726458982249" "0.0117799328671929"
"99" "SITTING" "9" "-0.627530823653232" "0.0133714119143214"
"100" "SITTING" "10" "-0.640078551091241" "0.0131843628291572"
"101" "SITTING" "11" "-0.636081608692102" "0.0128196849802714"
"102" "SITTING" "12" "-0.636301750626951" "0.0100253201756229"
"103" "SITTING" "13" "-0.638179130162868" "0.012023258764329"
"104" "SITTING" "14" "-0.639930771868791" "0.0118030699617859"
"105" "SITTING" "15" "-0.641496217339585" "0.0130124359812098"
"106" "SITTING" "16" "-0.642254023210701" "0.0120450655227417"
"107" "SITTING" "17" "-0.643707360983648" "0.0110660837262912"
"108" "SITTING" "18" "-0.650240242162375" "0.00811559304148007"
"109" "SITTING" "19" "-0.638986666530727" "0.014033357685817"
"110" "SITTING" "20" "-0.639872725383092" "0.0099311483924659"
"111" "SITTING" "21" "-0.644724493205524" "0.0106067988665934"
"112" "SITTING" "22" "-0.634015600138589" "0.0130203743671153"
"113" "SITTING" "23" "-0.632843540612456" "0.0146626759274174"
"114" "SITTING" "24" "-0.646619496620551" "0.00952298096531042"
"115" "SITTING" "25" "-0.645307467575153" "0.0079321428921885"
"116" "SITTING" "26" "-0.642718508921569" "0.0115670823459759"
"117" "SITTING" "27" "-0.647329814034974" "0.0111145662771653"
"118" "SITTING" "28" "-0.637322526513564" "0.00873931814915885"
"119" "SITTING" "29" "-0.644100724926612" "0.0100014316307581"
"120" "SITTING" "30" "-0.646017901904583" "0.0122174018742047"
"121" "STANDING" "1" "-0.647424789141436" "0.0133955343918802"
"122" "STANDING" "2" "-0.636454993012462" "0.00920118668316318"
"123" "STANDING" "3" "-0.626824657789309" "0.0140619904040086"
"124" "STANDING" "4" "-0.618583772157932" "0.0101449755335569"
"125" "STANDING" "5" "-0.618821537531601" "0.00846522227606688"
"126" "STANDING" "6" "-0.629253160586122" "0.00965458472880008"
"127" "STANDING" "7" "-0.63369010626409" "0.0139274411567872"
"128" "STANDING" "8" "-0.639463722621354" "0.0113683925266691"
"129" "STANDING" "9" "-0.633713631013694" "0.0098878400845738"
"130" "STANDING" "10" "-0.630886542166037" "0.010254547442202"
"131" "STANDING" "11" "-0.648374467923916" "0.00979354752081638"
"132" "STANDING" "12" "-0.627684013763497" "0.00981202849920048"
"133" "STANDING" "13" "-0.639297749080434" "0.0116596743667868"
"134" "STANDING" "14" "-0.633771114374627" "0.0136959096440608"
"135" "STANDING" "15" "-0.640037091389994" "0.0108180266604421"
"136" "STANDING" "16" "-0.646538416475197" "0.0137398649352728"
"137" "STANDING" "17" "-0.644675070329398" "0.00986576722217889"
"138" "STANDING" "18" "-0.645518459042212" "0.00962157788779868"
"139" "STANDING" "19" "-0.640136697217531" "0.0108618552892722"
"140" "STANDING" "20" "-0.620027732157146" "0.0117071496249043"
"141" "STANDING" "21" "-0.638450214241584" "0.0116009708775171"
"142" "STANDING" "22" "-0.635992094486953" "0.0081947476846571"
"143" "STANDING" "23" "-0.637024168810267" "0.00900690061949228"
"144" "STANDING" "24" "-0.634194893841734" "0.0125886342297527"
"145" "STANDING" "25" "-0.645297950751058" "0.00825518771902706"
"146" "STANDING" "26" "-0.644004547265191" "0.0127567709986858"
"147" "STANDING" "27" "-0.644356212162637" "0.00985379744912532"
"148" "STANDING" "28" "-0.627883524309929" "0.0102183256322044"
"149" "STANDING" "29" "-0.650245278868483" "0.00882955172613533"
"150" "STANDING" "30" "-0.630635453342216" "0.00900201768253416"
"151" "LAYING" "1" "-0.607522391836014" "0.0155899894498612"
"152" "LAYING" "2" "-0.639973837827844" "0.0111125081317197"
"153" "LAYING" "3" "-0.641445804875381" "0.0139650989905351"
"154" "LAYING" "4" "-0.630875080725603" "0.00766757458549943"
"155" "LAYING" "5" "-0.631793505517319" "0.00897037655348823"
"156" "LAYING" "6" "-0.619421431071453" "0.0103754796050496"
"157" "LAYING" "7" "-0.628303269447471" "0.0144202336233273"
"158" "LAYING" "8" "-0.627089533537997" "0.0111673358974767"
"159" "LAYING" "9" "-0.628414047268328" "0.0129910208837822"
"160" "LAYING" "10" "-0.633606314208568" "0.0135678852289599"
"161" "LAYING" "11" "-0.643553031373099" "0.0135942418127746"
"162" "LAYING" "12" "-0.63012919397725" "0.0114534994593766"
"163" "LAYING" "13" "-0.624337936876007" "0.0144088278824321"
"164" "LAYING" "14" "-0.628355645282404" "0.015597438484249"
"165" "LAYING" "15" "-0.639883147448173" "0.0139473607975666"
"166" "LAYING" "16" "-0.635906117499551" "0.0101269267037235"
"167" "LAYING" "17" "-0.629876420657766" "0.0153347608484514"
"168" "LAYING" "18" "-0.645039855011435" "0.00948298624509435"
"169" "LAYING" "19" "-0.632999218754884" "0.0132874054610815"
"170" "LAYING" "20" "-0.644397438696908" "0.0125086218827964"
"171" "LAYING" "21" "-0.63110876443376" "0.0160434395183421"
"172" "LAYING" "22" "-0.632109081483277" "0.0108639943311474"
"173" "LAYING" "23" "-0.628089473591726" "0.0086569711549091"
"174" "LAYING" "24" "-0.634203387560794" "0.00905042581758646"
"175" "LAYING" "25" "-0.589506698496036" "0.0180489231125348"
"176" "LAYING" "26" "-0.640679888089531" "0.00836831585382291"
"177" "LAYING" "27" "-0.645993647892745" "0.00882626433212856"
"178" "LAYING" "28" "-0.640518710327799" "0.0131413630264341"
"179" "LAYING" "29" "-0.646324698842316" "0.00824375882734487"
"180" "LAYING" "30" "-0.642625296795821" "0.0135615014111398"
